,ID,Salary,DOJ,DOL,Designation,JobCity,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
34,1073190,215000.0,2015-01-01,Present,Executive Assistant,Bangalore,F,1989-08-30,71.0,Cbse,2009.0,68.0,Icse,7869,2,B.Tech/B.E.,Computer Science & Engineering,70.86,7869,0,Uttar Pradesh,2013,430,510,405,0.3565364877,465,-1,346,-1,-1,-1,-1,1.5644,1.0449,0.3174,-1.8824,1.0554
35,942679,350000.0,2014-03-01,Present,Online Marketing Manager,Mohali,F,1990-09-15,85.0,Cbse,2008.0,61.0,Cbse,272,2,B.Tech/B.E.,Electronics And Communication Engineering,64.98,272,0,Punjab,2011,570,475,430,-1.0,-1,-1,-1,-1,-1,-1,-1,-0.4854,-0.5213,2.1129,-0.735,1.8224
36,602377,270000.0,2013-03-01,Present,Software Engineer,Hyderabad,F,1992-08-21,91.5,State Board,2009.0,93.8,State Board,11509,1,B.Tech/B.E.,Computer Engineering,74.1,11509,1,Telangana,2013,380,535,530,0.5259225843,415,-1,-1,-1,-1,-1,-1,-1.0208,0.2124,0.4711,0.2727,-0.0943
37,922508,80000.0,2010-10-01,4/1/15 0:00,Documentation Specialist,Gurgaon,M,1993-02-13,77.0,Cbse,2010.0,85.4,Cbse,272,2,B.Tech/B.E.,Electronics And Communication Engineering,63.9,272,0,Punjab,2014,475,605,415,0.6493897148,435,356,-1,-1,-1,-1,-1,0.2718,0.5454,0.3174,-1.8824,-0.4776
38,550371,330000.0,2014-01-01,Present,Associate Software Engineer,Bangalore,M,1991-10-02,52.33,State Board,2007.0,67.0,State Board,44,2,Mca,Computer Application,77.15,44,0,Uttar Pradesh,2013,450,525,545,0.7357957092,475,-1,-1,-1,-1,-1,-1,-0.0154,1.2114,0.6248,0.7798,0.8637
39,533417,200000.0,2013-01-01,6/1/13 0:00,Management Trainee,-1,M,1991-02-28,88.0,Kerala State Technical Education,2008.0,89.66,Kerala State Hse Board,867,2,B.Tech/B.E.,Electronics And Communication Engineering,76.4,867,0,Kerala,2012,510,640,635,0.124502074,-1,233,-1,-1,-1,-1,-1,0.3941,1.2808,0.2366,-2.1998,-0.4455
40,245887,120000.0,2011-06-01,3/1/12 0:00,Site Manager,Jhansi,M,1989-05-04,66.6,Cbse,2007.0,68.6,Up Board,105,2,B.Tech/B.E.,Mechanical Engineering,60.22,105,0,Uttar Pradesh,2011,425,595,475,0.1304417357,-1,-1,-1,286,-1,-1,-1,-0.4173,0.3448,0.0914,-0.4078,0.6603
41,955678,145000.0,2014-07-01,9/1/14 0:00,Software Developer,Delhi,M,1992-04-21,75.0,Cbse,2009.0,60.0,Cbse,105,2,B.Tech/B.E.,Computer Science & Engineering,66.0,105,0,Uttar Pradesh,2014,380,545,460,0.3565364877,395,-1,346,-1,-1,-1,-1,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356
42,895673,350000.0,2014-08-01,Present,Associate Software Engineer,Bangalore,M,1991-12-11,91.4,Icse,2010.0,73.0,Cbse,119,1,B.Tech/B.E.,Information Technology,71.0,119,0,Uttar Pradesh,2014,555,560,825,0.2378028398,525,-1,315,-1,-1,-1,-1,-0.0154,0.2578,-0.5349,-1.1218,-1.359
45,1230582,110000.0,2014-09-01,1/1/15 0:00,Production Engineer,Chennai,M,1992-10-12,95.8,State Board,2010.0,87.16,State Board,482,2,B.Tech/B.E.,Mechanical Engineering,79.0,482,0,Tamil Nadu,2014,430,395,500,0.0669607065,-1,-1,-1,253,-1,-1,-1,-0.5899,-1.1196,0.4711,-0.7415,-1.4356
46,592833,205000.0,2013-07-01,4/1/15 0:00,Jr. Software Engineer,Noida,F,1991-09-24,85.6,Cbse,2008.0,82.0,Cbse,13094,2,B.Tech/B.E.,Computer Science & Engineering,74.01,13094,0,Haryana,2012,370,495,455,0.08005528134,445,-1,253,-1,-1,-1,-1,0.1282,0.5454,0.1637,-0.4879,0.8637
47,434621,95000.0,2012-10-01,10/1/13 0:00,Software Developer,Delhi,M,1992-02-01,69.6,Bseb,2008.0,71.4,Bseb,3054,2,B.Tech/B.E.,Computer Engineering,77.0,3054,0,Orissa,2012,485,415,575,0.9256457671,-1,-1,-1,-1,-1,-1,-1,-0.4173,0.6568,-0.7794,1.7074,0.1864
48,338428,390000.0,2013-09-01,Present,Software Engineer,Bangalore,M,1991-02-28,86.6,Cbse,2009.0,75.0,Cbse,11637,2,B.Tech/B.E.,Computer Science & Engineering,74.0,11637,0,Madhya Pradesh,2013,505,545,565,0.3565364877,475,-1,346,-1,-1,-1,-1,-2.5039,0.0328,0.3817,0.26793,0.5024
49,305559,270000.0,2012-05-01,7/1/14 0:00,Qa Analyst,Bangalore,M,1989-03-27,81.92,State Board,2007.0,61.46,State Board,1109,2,B.Tech/B.E.,Information Technology,57.54,1109,1,Karnataka,2011,565,465,415,0.8431237267,515,-1,-1,-1,-1,-1,-1,1.2828,1.7488,1.8331,-2.2879,1.1343
50,245337,60000.0,2011-06-01,2/1/13 0:00,Trainee Software Developer,Bhubaneswar,F,1988-02-13,66.5,Cbse,2005.0,49.5,Chse,889,2,Mca,Computer Application,89.7,889,0,Orissa,2011,505,505,485,0.9168699611,555,-1,-1,-1,-1,-1,-1,-1.0355,0.0328,-2.2308,1.0024,0.3444
51,852310,120000.0,2015-02-01,Present,Ui Developer,Hyderabad,M,1991-11-03,80.0,State Board,2009.0,72.5,State Board,12867,2,B.Tech/B.E.,Electronics And Computer Engineering,57.8,12867,0,Andhra Pradesh,2013,580,485,455,0.7833035367,405,388,-1,-1,-1,-1,-1,-0.4463,-0.1206,-1.0659,-0.1076,-1.244
52,794209,400000.0,2015-04-01,Present,Software Engineer,Navi Mumbai,M,1992-03-09,85.2,Icse,2010.0,81.5,Icse,8350,2,B.Tech/B.E.,Computer Science & Engineering,57.64,8350,0,Uttar Pradesh,2014,545,385,485,0.6000571823,435,-1,-1,-1,-1,-1,-1,1.1336,0.3789,1.0859,0.653,0.2889
53,1082717,350000.0,2014-09-01,Present,Assistant System Engineer,Mumbai,M,1991-08-06,89.25,State Board,2010.0,78.0,State Board,2066,2,B.Tech/B.E.,Electrical Engineering,80.0,2066,1,West Bengal,2014,570,510,545,0.7929362776,-1,-1,-1,-1,484,-1,-1,-0.159,-0.1206,-0.6048,-1.6289,-1.4356
54,764522,120000.0,2014-11-01,Present,Android Developer,New Delhi,F,1992-01-14,58.4,Cbse,2008.0,64.8,Cbse,85,2,Mca,Computer Application,80.0,85,0,Haryana,2014,440,415,554,0.7935806145,495,-1,-1,-1,-1,-1,-1,0.335,0.0924,-0.6582,-0.4821,-0.1543
55,989860,250000.0,2014-08-01,Present,Software Engineer,Mangalore,M,1992-02-13,90.8,State Board,2010.0,90.1,State Board,12832,2,B.Tech/B.E.,Computer Science & Engineering,67.7,12832,0,Karnataka,2014,525,530,595,0.4867470084,485,-1,376,-1,-1,-1,-1,-0.3027,0.7119,-0.2974,1.1601,-0.4776
56,416752,240000.0,2013-03-01,Present,Customer Service,Rewari,F,1989-07-15,78.0,Cbse,2006.0,70.1,Cbse,166,2,B.Tech/B.E.,Electronics And Communication Engineering,68.2,166,0,Haryana,2011,415,595,495,0.6944793277,-1,366,-1,-1,-1,-1,-1,0.8192,-0.0842,-0.598,-0.6428,-0.6035
57,294700,525000.0,2012-03-01,Present,Test Engineer,Hyderabad,F,1989-08-15,89.88,0,2007.0,95.4,0,1027,2,B.Tech/B.E.,Electronics And Communication Engineering,80.8,1027,1,Telangana,2011,555,475,635,0.6944793277,-1,366,-1,-1,-1,420,-1,0.3555,-0.2793,-0.6343,-0.2902,-0.2875
58,1063642,200000.0,2013-06-01,1/1/14 0:00,Project Engineer,Gaziabaad,M,1990-03-27,63.3,State Board,2008.0,61.1,State Board,11386,2,B.Tech/B.E.,Electronics And Communication Engineering,66.9,11386,0,Uttar Pradesh,2013,420,510,665,0.1121394382,-1,228,-1,-1,-1,-1,-1,-1.0208,-0.6201,-0.2974,-0.1076,-1.244
60,652717,305000.0,2013-11-01,Present,Software Engineer,Chennai,F,1991-12-27,83.0,State Board,2009.0,79.0,State Board,9173,2,B.Tech/B.E.,Information Technology,70.0,9173,1,Telangana,2013,430,410,310,0.1656330915,305,-1,-1,-1,-1,-1,-1,-0.159,-0.1206,0.1637,1.5404,-0.0943
61,940402,300000.0,2014-10-01,4/1/15 0:00,Java Developer,Chennai,M,1993-06-30,85.3,State Board,2010.0,88.3,State Board,434,2,B.Tech/B.E.,Computer Science & Engineering,85.0,434,1,Tamil Nadu,2014,370,375,325,0.3565364877,315,-1,346,-1,-1,-1,-1,1.8517,1.5444,0.3174,0.3995,0.6721
62,1218578,145000.0,2014-06-01,Present,Engineer,Noida,F,1991-03-02,81.0,Cbse,2009.0,77.8,Cbse,11942,2,B.Tech/B.E.,Electronics And Communication Engineering,65.35,11942,0,Uttar Pradesh,2014,535,510,390,0.2073921697,-1,260,-1,-1,-1,260,-1,-1.1644,-0.9531,0.01,-0.7415,-0.8608
64,31330,600000.0,2010-07-01,7/1/12 0:00,Java Software Engineer,Gurgaon,M,1986-05-29,78.0,Cbse,2004.0,83.0,Cbse,2,1,B.Tech/B.E.,Information Technology,72.13,2,1,Delhi,2010,444,555,695,0.9999045583,804,-1,-1,-1,-1,-1,-1,0.6646,0.3448,0.8171,0.6498,0.0284
65,1044453,310000.0,2014-02-01,5/1/14 0:00,System Engineer,Mysore,M,1990-12-02,89.37,State Board,2009.0,79.0,State Board,2085,2,B.Tech/B.E.,Applied Electronics And Instrumentation,70.0,2085,0,West Bengal,2013,630,580,510,0.3387863472,-1,292,-1,-1,-1,-1,-1,0.99,1.2114,-0.2974,-1.1218,1.247
66,125529,455000.0,2011-01-01,9/1/13 0:00,System Engineer,Bangalore,M,1989-08-29,90.0,"State Board Of Secondary Education, Andhra Pradesh",2006.0,94.4,"State  Board Of Intermediate Education, Andhra Pradesh",1396,2,B.Tech/B.E.,Electronics And Communication Engineering,76.12,1396,0,Andhra Pradesh,2010,505,525,595,0.124502074,615,233,-1,-1,-1,-1,-1,-0.2628,-0.1232,0.0914,-1.2303,-0.1295
68,86373,150000.0,2010-07-01,1/1/12 0:00,Recruitment Coordinator,Chennai,F,1989-03-18,78.0,Matriculation,2006.0,86.67,State Board,4173,2,B.Tech/B.E.,Instrumentation And Control Engineering,77.55,4173,1,Tamil Nadu,2010,535,465,535,0.9107701642,445,433,-1,-1,-1,-1,-1,-0.881,1.4368,0.3817,-0.4078,-0.1295
69,1237891,250000.0,2015-06-01,Present,Software Developer,Mangalore,M,1993-01-15,84.4,Cbse,2011.0,73.2,Cbse,272,2,B.Tech/B.E.,Computer Science & Engineering,70.0,272,0,Punjab,2015,570,410,535,0.6707431514,455,-1,-1,-1,-1,-1,-1,-0.0154,0.8784,0.01,-0.7415,-0.2859
70,801755,320000.0,2014-03-01,Present,System Engineer,Chennai,M,1992-12-12,89.0,State Board,2009.0,92.0,State Board,14382,2,B.Tech/B.E.,Electrical Engineering,76.4,14382,1,Telangana,2013,625,645,605,0.9820571243,385,388,-1,-1,606,-1,-1,-1.4517,-1.4526,-1.2196,1.794,-2.3937
71,1089599,250000.0,2014-05-01,Present,Java Software Engineer,Rajkot,M,1990-12-03,86.0,Gujarat State Board,2008.0,64.0,State Board,9564,2,B.Tech/B.E.,Information Technology,61.17,9564,0,Gujarat,2013,665,545,415,0.9113952784,405,-1,500,-1,-1,-1,-1,1.1336,1.3779,2.1617,-0.995,1.0554
72,1230478,200000.0,2014-06-01,1/1/15 0:00,Technical Support Engineer,Bangalore,M,1992-12-21,85.0,Icse,2010.0,75.0,Cbse,319,2,B.Tech/B.E.,Computer Science & Engineering,60.0,319,1,Karnataka,2014,675,480,500,0.8422483223,425,-1,469,-1,-1,-1,-1,1.1336,1.0449,0.1637,-1.2486,0.0973
73,982400,240000.0,2014-06-01,4/1/15 0:00,Android Developer,Greater Noida,M,1992-07-06,75.0,Cbse,2009.0,64.0,Cbse,184,2,B.Tech/B.E.,Computer Science & Engineering,67.0,184,0,Uttar Pradesh,2014,510,480,485,-1.0,-1,-1,-1,-1,-1,-1,-1,-0.159,0.8784,1.2396,0.2727,-0.6692
74,1225896,120000.0,2015-04-01,8/1/15 0:00,Data Analyst,Indore,F,1991-08-10,86.0,State Board,2009.0,77.0,State Board,4973,2,B.Tech/B.E.,Computer Science & Engineering,75.0,4973,0,Madhya Pradesh,2013,325,510,295,0.01854094168,415,-1,192,-1,-1,-1,-1,0.1282,0.0459,0.1637,0.0192,-0.0943
75,1067148,300000.0,2014-09-01,Present,Programmer Analyst,Bangalore,M,1992-09-03,70.6,Cbse,2010.0,78.67,State Board,182,2,B.Tech/B.E.,Electronics And Communication Engineering,75.84,182,1,Karnataka,2014,580,485,510,0.05316030528,285,196,-1,-1,-1,-1,-1,0.5591,0.2124,-1.2196,-0.7415,-0.8608
77,754392,120000.0,2014-07-01,Present,Test Engineer,-1,M,1992-02-18,76.0,State Board,2009.0,72.0,State Board,8888,2,B.Tech/B.E.,Computer Science & Engineering,63.2,8888,0,Tamil Nadu,2013,510,355,340,0.1230167316,285,-1,-1,-1,-1,-1,-1,-0.159,-0.2871,0.4711,0.2727,-0.4776
78,1168608,325000.0,2014-12-01,4/1/15 0:00,System Engineer,Mysore,F,1993-05-05,86.4,Cbse,2010.0,78.2,Cbse,6982,2,B.Tech/B.E.,Electronics And Communication Engineering,73.5,6982,1,Karnataka,2014,535,435,440,0.2073921697,355,260,530,-1,-1,-1,-1,0.8463,1.3779,1.3933,0.653,-0.2859
79,1089852,100000.0,2013-08-01,5/1/14 0:00,Software Developer,-1,F,1992-05-17,86.0,State Board,2009.0,95.0,State Board,4726,2,B.Tech/B.E.,Electronics And Communication Engineering,78.6,4726,0,Telangana,2013,405,545,450,0.6493897148,375,356,-1,-1,-1,-1,-1,0.5591,-0.4536,0.01,-0.4879,0.6721
80,1098869,300000.0,2014-08-01,Present,Assistant Software Engineer,Bangalore,M,1992-09-26,84.83,Cbse,2010.0,82.4,Cbse,903,2,B.Tech/B.E.,Computer Science & Engineering,74.14,903,0,Uttar Pradesh,2014,665,595,705,0.744758354,505,-1,438,-1,-1,-1,-1,-0.4463,0.2124,0.3174,-1.5021,-0.2859
81,661546,280000.0,2014-10-01,4/1/15 0:00,Faculty,New Delhi,M,1990-07-05,72.3,Icse,2008.0,60.2,Cbse,8546,2,B.Tech/B.E.,Electronics And Communication Engineering,69.38,8546,1,Rajasthan,2013,555,475,415,0.6944793277,-1,366,-1,-1,-1,393,-1,1.4208,0.5454,-0.2974,1.0333,-0.6692
82,87067,215000.0,2014-10-01,3/1/15 0:00,Entry Level Management Trainee,New Delhi,F,1987-03-15,69.0,Cbse,2005.0,62.6,Cbse,5605,2,B.Tech/B.E.,Electrical Engineering,76.25,5605,0,Madhya Pradesh,2010,395,455,475,0.6944793277,195,366,-1,-1,-1,-1,-1,-0.4173,0.1888,-0.4891,0.4148,0.8183
83,836060,145000.0,2014-06-01,8/1/14 0:00,Customer Service Representative,Jaipur,M,1993-11-23,80.0,State Board,2010.0,70.0,State Board,9699,2,B.Tech/B.E.,Electronics And Communication Engineering,55.0,9699,1,Rajasthan,2014,430,450,385,-1.0,-1,-1,-1,-1,-1,-1,-1,0.1282,-0.1206,0.9322,1.5404,0.0973
84,58674,445000.0,2011-11-01,Present,Software Test Engineer,Pune,F,1987-05-10,73.33,0,2004.0,71.33,0,331,2,Mca,Computer Application,61.0,331,1,Maharashtra,2010,375,535,534,0.6000571823,435,-1,-1,-1,-1,-1,-1,-2.272,-0.2793,-1.2148,0.8848,-0.7615
85,1255801,315000.0,2015-07-01,Present,Firmware Engineer,Noida,M,1993-08-18,86.16,Cbse,2011.0,70.08,Cbse,7376,2,B.Tech/B.E.,Electronics And Communication Engineering,63.13,7376,0,Uttar Pradesh,2015,455,595,500,0.2073921697,225,260,-1,-1,-1,-1,-1,0.99,1.0449,1.7007,-2.0092,0.2889
86,662008,100000.0,2013-10-01,2/1/15 0:00,Php Developer,Kolkata,F,1987-11-13,75.0,State Board,2010.0,78.0,West Bengal State Council Of Technical Education,12992,2,B.Tech/B.E.,Computer Engineering,71.1,12992,1,West Bengal,2013,415,440,355,0.4883479768,405,-1,-1,-1,-1,-1,-1,0.8463,1.3779,1.0859,-0.995,1.247
87,1245234,200000.0,2015-01-01,4/1/15 0:00,Software Developer,Noida,M,1992-05-01,56.0,Cbse,2009.0,56.0,State Board,51,2,Mca,Computer Application,62.0,51,0,Uttar Pradesh,2015,605,470,355,0.8431237267,515,-1,-1,-1,-1,-1,-1,0.7027,0.8784,0.3174,-1.1218,0.4805
88,1259641,220000.0,2014-10-01,Present,Research Associate,Hyderabad,F,1992-02-21,87.0,Cbse,2008.0,60.0,Cbse,973,2,B.Tech/B.E.,Computer Science & Engineering,70.82,973,0,Uttar Pradesh,2013,640,605,400,0.8422483223,425,-1,469,-1,-1,-1,-1,0.8463,1.2114,1.2396,-0.1076,1.247
